,year,global_avg_temp,city_avg_temp,global_ma,city_ma
0,1796,8.27,25.03,,
1,1797,8.51,26.71,,
2,1798,8.67,24.29,,
3,1799,8.51,25.28,,
4,1800,8.48,25.21,,
5,1801,8.59,24.22,,
6,1802,8.58,25.63,,
7,1803,8.5,25.38,,
8,1804,8.84,25.68,8.55,25.27
9,1805,8.56,25.3,8.582222222,25.3
10,1806,8.43,25.22,8.573333333,25.13444444
11,1807,8.28,24.97,8.53,25.21
17,1813,7.74,24.56,8.444444444,25.13
18,1814,7.59,23.73,8.345555556,24.96555556
19,1815,7.24,24.09,8.195555556,24.95111111
20,1816,6.94,23.7,8.013333333,24.73666667
21,1817,6.98,23.86,7.844444444,24.56777778
22,1818,7.83,24.37,7.732222222,24.42222222
23,1819,7.37,23.9,7.6,24.26666667
24,1820,7.62,24.12,7.51,24.14444444
25,1821,8.09,24.83,7.488888889,24.12888889
26,1822,8.19,24.93,7.538888889,24.17
27,1823,7.72,24.63,7.553333333,24.27
28,1824,8.55,25.3,7.698888889,24.40444444
29,1825,8.39,25.11,7.86,24.56111111
30,1826,8.36,25.12,8.013333333,24.70111111
31,1827,8.81,25.36,8.122222222,24.81111111
32,1828,8.17,24.9,8.211111111,24.92222222
33,1829,7.94,24.71,8.246666667,24.98777778
34,1830,8.52,25.07,8.294444444,25.01444444
35,1831,7.64,24.43,8.233333333,24.95888889
36,1832,7.45,24.62,8.203333333,24.95777778
37,1833,8.01,24.85,8.143333333,24.90777778
38,1834,8.15,24.82,8.116666667,24.87555556
39,1835,7.39,23.9,8.008888889,24.74
40,1836,7.7,24.54,7.885555556,24.64888889
41,1837,7.38,24.42,7.797777778,24.59555556
42,1838,7.51,24.38,7.75,24.55888889
43,1839,7.63,24.45,7.651111111,24.49
44,1840,7.8,24.72,7.668888889,24.52222222
45,1841,7.69,24.49,7.695555556,24.50777778
46,1842,8.02,24.78,7.696666667,24.5
47,1843,8.17,24.75,7.698888889,24.49222222
48,1844,7.65,24.36,7.727777778,24.54333333
49,1845,7.85,24.6,7.744444444,24.55
50,1846,8.55,25.16,7.874444444,24.63222222
51,1847,8.09,24.66,7.938888889,24.66333333
52,1848,7.98,24.45,7.977777778,24.66333333
53,1849,7.98,24.49,7.997777778,24.63777778
54,1850,7.9,24.78,8.021111111,24.67
55,1851,8.18,24.76,8.038888889,24.66777778
56,1852,8.1,24.65,8.031111111,24.65666667
57,1853,8.04,24.88,8.074444444,24.71444444
58,1854,8.21,25.02,8.114444444,24.76111111
59,1855,8.11,25.24,8.065555556,24.77
60,1856,8,23.86,8.055555556,24.68111111
61,1857,7.76,24.3,8.031111111,24.66444444
74,1870,8.2,24.89,8.055555556,24.70888889
75,1871,8.12,24.88,8.08,24.72
76,1872,8.19,24.94,8.081111111,24.74
77,1873,8.35,25.06,8.108888889,24.78555556
78,1874,8.43,24.25,8.152222222,24.71555556
79,1875,7.86,25.38,8.113333333,24.75555556
80,1876,8.08,24.93,8.11,24.72111111
81,1877,8.54,25.08,8.17,24.85666667
82,1878,8.83,25.18,8.288888889,24.95444444
83,1879,8.17,24.86,8.285555556,24.95111111
84,1880,8.12,25.45,8.285555556,25.01444444
85,1881,8.27,25.09,8.294444444,25.03111111
86,1882,8.13,24.89,8.27,25.01222222
87,1883,7.98,24.82,8.22,25.07555556
88,1884,7.77,24.67,8.21,24.99666667
89,1885,7.92,24.38,8.192222222,24.93555556
90,1886,7.95,24.89,8.126666667,24.91444444
91,1887,7.91,24.9,8.024444444,24.88333333
92,1888,8.09,24.88,8.015555556,24.88555556
93,1889,8.32,25.21,8.037777778,24.85888889
94,1890,7.97,25.06,8.004444444,24.85555556
95,1891,8.02,24.68,7.992222222,24.83222222
96,1892,8.07,25.49,8.002222222,24.90666667
97,1893,8.06,23.84,8.034444444,24.81444444
98,1894,8.16,24.74,8.061111111,24.85444444
99,1895,8.15,25.15,8.083333333,24.88333333
100,1896,8.21,25.83,8.116666667,24.98666667
101,1897,8.29,25.39,8.138888889,25.04333333
102,1898,8.18,25.55,8.123333333,25.08111111
103,1899,8.4,25.86,8.171111111,25.17
104,1900,8.5,25.56,8.224444444,25.26777778
105,1901,8.54,25.49,8.276666667,25.26777778
106,1902,8.3,25.66,8.303333333,25.47
107,1903,8.22,25.14,8.31,25.51444444
108,1904,8.09,25.07,8.303333333,25.50555556
109,1905,8.23,24.75,8.305555556,25.38555556
110,1906,8.38,25.17,8.315555556,25.36111111
111,1907,7.95,25.02,8.29,25.30222222
112,1908,8.19,25.14,8.266666667,25.22222222
113,1909,8.18,24.75,8.231111111,25.13222222
114,1910,8.22,24.81,8.195555556,25.05666667
115,1911,8.18,25.36,8.182222222,25.02333333
116,1912,8.17,25.25,8.176666667,25.03555556
117,1913,8.3,24.94,8.2,25.02111111
118,1914,8.59,25.12,8.24,25.06222222
119,1915,8.59,25.73,8.263333333,25.12444444
120,1916,8.23,25.07,8.294444444,25.13
121,1917,8.02,23.84,8.275555556,24.98555556
122,1918,8.13,25.28,8.27,25.04444444
123,1919,8.38,24.84,8.287777778,25.04777778
124,1920,8.36,24.99,8.307777778,25.00666667
125,1921,8.57,26.04,8.352222222,25.09444444
126,1922,8.41,25.18,8.364444444,25.12111111
127,1923,8.42,25.26,8.345555556,25.13666667
128,1924,8.51,24.98,8.336666667,25.05333333
129,1925,8.53,24.85,8.37,25.02888889
130,1926,8.73,24.78,8.448888889,25.13333333
131,1927,8.52,24.73,8.492222222,25.07222222
132,1928,8.63,25.65,8.52,25.16222222
133,1929,8.24,25.39,8.506666667,25.20666667
134,1930,8.63,25.1,8.513333333,25.10222222
135,1931,8.72,25.58,8.547777778,25.14666667
136,1932,8.71,25.63,8.58,25.18777778
137,1933,8.34,24.52,8.561111111,25.13666667
138,1934,8.63,24.96,8.572222222,25.14888889
139,1935,8.52,24.81,8.548888889,25.15222222
140,1936,8.55,24.76,8.552222222,25.15555556
141,1937,8.7,24.81,8.56,25.06222222
142,1938,8.86,25.36,8.628888889,25.05888889
143,1939,8.76,25.24,8.643333333,25.07444444
144,1940,8.76,25.07,8.647777778,25.01777778
145,1941,8.77,26.3,8.654444444,25.09222222
146,1942,8.73,25.4,8.697777778,25.19
147,1943,8.76,25.25,8.712222222,25.22222222
148,1944,8.85,24.98,8.748888889,25.24111111
149,1945,8.58,24.78,8.752222222,25.24333333
150,1946,8.68,25.47,8.75,25.31666667
